mesh_name,idx,d,min_jens,avg_jens,min_jeans,avg_jeans,num_inverted_jens,num_inverted_jeans,num_elements,avg_jeans_T,count_T,inverted_T,avg_jeans_P,count_P,inverted_P,avg_jeans_R,count_R,inverted_R,avg_jeans_H,count_H,inverted_H
femur_s4,0,0.05,0.152209,0.5892932522799692,0.0714883,0.3869727927700253,0,0,9101,0.30888799000343525,2911,0,0.31450717248036647,3056,0,0.44210975027995525,1786,0,0.6468282752225519,1348,0
femur_s4,1,0.05160642570281125,0.145882,0.5887529335237887,0.0677484,0.38624599452807384,0,0,9101,0.3090387015458605,2911,0,0.3145620736256544,3056,0,0.4411421170212766,1786,0,0.6427534258160238,1348,0
femur_s4,2,0.05321285140562249,0.149977,0.5884321658059555,0.0664889,0.385656929809911,0,0,9101,0.3081631444864308,2911,0,0.31374968475130893,3056,0,0.4407263163493841,1786,0,0.6430597678041543,1348,0
femur_s4,3,0.05481927710843374,0.150298,0.587676627623338,0.0656747,0.3848636880452697,0,0,9101,0.3079656169357609,2911,0,0.3124658609293194,3056,0,0.4406324025755879,1786,0,0.641165706231454,1348,0
femur_s4,4,0.05642570281124498,0.150218,0.5877082716185036,0.0699627,0.3836398792660148,0,0,9101,0.3076994705255926,2911,0,0.3120876192735602,3056,0,0.440377764837626,1786,0,0.634672796735905,1348,0
femur_s4,5,0.05803212851405623,0.145313,0.587558655202725,0.071298,0.383535499384683,0,0,9101,0.30823017110958434,2911,0,0.31155687787958114,3056,0,0.43905085554311307,1786,0,0.63578331231454,1348,0
femur_s4,6,0.05963855421686747,0.154626,0.586886851005384,0.0672752,0.38299540381276787,0,0,9101,0.3077376580900035,2911,0,0.31128256688481676,3056,0,0.43837642833146695,1786,0,0.6347158916913946,1348,0
femur_s4,7,0.06124497991967872,0.146353,0.5870077069552797,0.0690997,0.3826695927810131,0,0,9101,0.3077026087598763,2911,0,0.31074340143979057,3056,0,0.4400247771556551,1786,0,0.6316302544510386,1348,0
femur_s4,8,0.06285140562248996,0.142754,0.5867736732227228,0.0670503,0.38198048659487965,0,0,9101,0.3084119292682927,2911,0,0.3107348057591623,3056,0,0.43807629395296754,1786,0,0.6280470734421365,1348,0
femur_s4,9,0.06445783132530121,0.142058,0.5864911260301066,0.0693189,0.3813240088122184,0,0,9101,0.3083192134661628,2911,0,0.31057310366492147,3056,0,0.4375237032474804,1786,0,0.6249138241839762,1348,0
femur_s4,10,0.06606425702811246,0.102995,0.5857793533677618,0.0671628,0.3800870162619493,0,0,9101,0.3064800416008245,2911,0,0.309288271236911,3056,0,0.43728347872340423,1786,0,0.6237650474777449,1348,0
femur_s4,11,0.06767068273092369,0.147329,0.5856040887814526,0.0678468,0.37984649000109877,0,0,9101,0.30673019130882856,2911,0,0.3086877757198953,3056,0,0.4382291954087346,1786,0,0.6217092974777448,1348,0
femur_s4,12,0.06927710843373494,0.149039,0.5850668952862323,0.0707056,0.3782839823755631,0,0,9101,0.3054948446581931,2911,0,0.3078574285994764,3056,0,0.43572759686450174,1786,0,0.619024659495549,1348,0
femur_s4,13,0.07088353413654619,0.144816,0.5849525376332271,0.069861,0.37876294924733545,0,0,9101,0.3069538392648574,2911,0,0.3076999384816754,3056,0,0.43622742385218366,1786,0,0.6188025103857567,1348,0
femur_s4,14,0.07248995983935744,0.153928,0.5836544150093397,0.0695356,0.3770620924953302,0,0,9101,0.30490988481621434,2911,0,0.30679865088350783,3056,0,0.4354667402015678,1786,0,0.6147842388724036,1348,0
femur_s4,15,0.07409638554216869,0.147274,0.583575229754972,0.0691114,0.3764997509174816,0,0,9101,0.30625251356922023,2911,0,0.30578960670811517,3056,0,0.4342441606942889,1786,0,0.6119955912462908,1348,0
femur_s4,16,0.07570281124497992,0.101943,0.5826010462586528,0.0672762,0.3756229842654653,0,0,9101,0.305301472518035,2911,0,0.3045299405431937,3056,0,0.4339403908174692,1786,0,0.6113880986646885,1348,0
femur_s4,17,0.07730923694779117,0.14143,0.5829991537193715,0.0640215,0.3751116784858806,0,0,9101,0.30552960010305735,2911,0,0.3054066515052356,3056,0,0.4325635050391937,1786,0,0.6072800986646885,1348,0
