element_idx,element_type,jens,jeans
0,T,0.50952,0.334816
1,R,0.561018,0.458087
2,T,0.52227,0.321216
3,T,0.811154,0.72357
4,T,0.78737,0.664473
5,T,0.635028,0.37071
6,T,0.605419,0.402387
7,T,0.666237,0.435286
8,T,0.777732,0.738267
9,T,0.795396,0.599228
10,T,0.561183,0.400733
11,R,0.570948,0.414188
12,H,0.772678,0.48847
13,P,0.499163,0.231304
14,P,0.551742,0.340579
15,R,0.618749,0.512688
16,T,0.612874,0.457197
17,T,0.678961,0.543763
18,T,0.572371,0.447563
19,T,0.592816,0.407604
20,T,0.662028,0.410743
21,T,0.607424,0.40219
22,T,0.904198,0.754419
23,T,0.751129,0.587316
24,R,0.836506,0.560357
25,R,0.741781,0.476793
26,R,0.685149,0.437857
27,R,0.832157,0.604065
28,R,0.618841,0.285722
29,R,0.596569,0.276808
30,R,0.605988,0.323222
31,R,0.662742,0.340956
32,P,0.753997,0.523898
33,P,0.620903,0.384218
34,P,0.525781,0.208278
35,T,0.30309,0.120043
36,T,0.325483,0.159597
37,T,0.45875,0.198221
38,T,0.489658,0.213474
39,T,0.622614,0.360808
40,T,0.595598,0.281937
41,R,0.659609,0.375529
42,R,0.712398,0.379189
43,H,0.992299,0.856303
44,P,0.338265,0.194061
45,P,0.345007,0.229804
46,P,0.397426,0.254797
47,H,0.991787,0.7982
48,H,0.987957,0.836228
49,H,0.990829,0.87593
50,H,0.977552,0.79161
51,T,0.776332,0.673982
52,P,0.505185,0.221477
53,P,0.678641,0.354106
54,R,0.60953,0.330144
55,R,0.595528,0.289322
56,T,0.670375,0.408422
57,T,0.634664,0.422966
58,T,0.630564,0.398516
59,T,0.833412,0.7728
60,T,0.582774,0.346711
61,T,0.620896,0.380282
62,T,0.649271,0.382211
63,T,0.825615,0.704162
64,P,0.40641,0.257384
65,P,0.404791,0.297006
66,P,0.408515,0.271425
67,H,0.988934,0.850429
68,P,0.34481,0.228863
69,P,0.43078,0.257694
70,P,0.383833,0.256138
71,P,0.485185,0.276416
72,P,0.409084,0.311625
73,H,0.967336,0.657812
74,H,0.975607,0.736078
75,H,0.960229,0.697441
76,H,0.956467,0.660375
77,H,0.950307,0.488861
78,H,0.893514,0.449268
79,H,0.948681,0.537052
80,H,0.955365,0.578171
81,H,0.924523,0.452497
82,H,0.985015,0.668387
83,H,0.959451,0.657653
84,H,0.938087,0.713016
85,H,0.984326,0.784431
86,H,0.958023,0.713607
87,P,0.496392,0.382847
88,P,0.49984,0.320261
89,T,0.63163,0.467782
90,P,0.438026,0.251385
91,P,0.437161,0.293376
92,T,0.641725,0.461233
93,T,0.658545,0.447279
94,P,0.441588,0.281932
95,P,0.45223,0.237211
96,T,0.640671,0.583652
97,T,0.761974,0.650424
98,T,0.722878,0.564704
99,T,0.589979,0.383205
100,T,0.560099,0.330601
101,T,0.61818,0.403116
102,T,0.738367,0.698012
103,P,0.434094,0.289264
104,P,0.355292,0.220181
105,P,0.291906,0.189521
106,P,0.606477,0.366064
107,P,0.639157,0.304642
108,P,0.464413,0.203419
109,P,0.659145,0.366328
110,P,0.389208,0.243726
111,P,0.346037,0.22717
112,P,0.297631,0.193109
113,H,0.991791,0.819251
114,P,0.758629,0.519096
115,P,0.572148,0.236617
116,P,0.54324,0.200092
117,T,0.306689,0.104779
118,T,0.384453,0.179221
119,T,0.378537,0.142766
120,T,0.398739,0.169672
121,T,0.711951,0.477152
122,T,0.65262,0.367081
123,P,0.152209,0.0714883
124,P,0.459138,0.219743
125,T,0.450738,0.266276
126,P,0.304271,0.180819
127,P,0.347605,0.228899
128,P,0.266864,0.177016
129,P,0.739574,0.569414
130,P,0.554147,0.200368
131,P,0.467224,0.211283
132,T,0.310898,0.128159
133,T,0.315186,0.143902
134,T,0.342993,0.150062
135,T,0.287954,0.120627
136,T,0.654605,0.408966
137,T,0.452832,0.225573
138,P,0.495368,0.344194
139,P,0.745628,0.528094
140,P,0.328285,0.224509
141,P,0.354824,0.225621
142,P,0.387827,0.232495
143,H,0.990398,0.821275
144,H,0.984117,0.849994
145,P,0.327519,0.177139
146,P,0.275932,0.190281
147,P,0.396139,0.258943
148,T,0.527574,0.399299
149,T,0.620182,0.353079
150,P,0.335417,0.197926
151,P,0.779549,0.445154
152,P,0.668161,0.452721
153,P,0.240538,0.0925028
154,T,0.690119,0.532161
155,P,0.474693,0.253854
156,P,0.73759,0.400138
157,P,0.32645,0.21552
158,P,0.380492,0.258857
159,P,0.401518,0.236827
160,T,0.594174,0.332009
161,T,0.631294,0.412883
162,T,0.644418,0.449769
163,T,0.848183,0.80856
164,R,0.742252,0.578416
165,H,0.800949,0.384489
166,H,0.984316,0.787167
167,R,0.540509,0.253989
168,R,0.580511,0.25264
169,T,0.700404,0.541629
170,R,0.791422,0.526614
171,T,0.600425,0.429095
172,T,0.588212,0.448654
173,R,0.803111,0.650175
174,P,0.705599,0.497111
175,P,0.648663,0.455669
176,P,0.519878,0.177604
177,T,0.256161,0.101828
178,T,0.293213,0.151779
179,T,0.55233,0.24136
180,T,0.532767,0.234382
181,T,0.631639,0.427067
182,T,0.665975,0.336095
183,H,0.987897,0.869667
184,R,0.55074,0.268586
185,R,0.593384,0.266906
186,R,0.79787,0.567062
187,P,0.694024,0.442295
188,P,0.553142,0.208983
189,P,0.639287,0.457513
190,T,0.575571,0.25405
191,T,0.575733,0.247254
192,T,0.256282,0.10043
193,T,0.314846,0.14433
194,T,0.59182,0.39781
195,T,0.630197,0.301986
196,H,0.992065,0.844376
197,R,0.597537,0.289084
198,R,0.628801,0.281907
199,P,0.315423,0.114144
200,P,0.606548,0.494434
201,T,0.625967,0.36714
202,P,0.70283,0.444674
203,P,0.402284,0.180748
204,T,0.583706,0.432947
205,R,0.677532,0.438773
206,R,0.613441,0.303055
207,R,0.658032,0.354911
208,R,0.843622,0.591416
209,R,0.711306,0.497761
210,R,0.613283,0.28865
211,R,0.658658,0.329209
212,R,0.89611,0.748504
213,H,0.915937,0.533802
214,P,0.768449,0.566172
215,P,0.587327,0.288116
216,P,0.631605,0.344562
