element_idx,element_type,jens,jeans
0,R,0.625219,0.398886
1,T,0.484033,0.306435
2,H,0.803431,0.296004
3,R,0.6337,0.327922
4,R,0.447334,0.173634
5,T,0.30906,0.162653
6,T,0.236448,0.122145
7,R,0.450163,0.243191
8,T,0.27328,0.247063
9,P,0.383019,0.30512
10,P,0.129482,0.0719111
11,T,0.830856,0.693173
12,T,0.352268,0.248873
13,T,0.507174,0.408132
14,P,0.106346,0.0419828
15,P,0.295,0.164536
16,P,-0.0193565,-0.0198787
17,P,0.616497,0.45401
18,P,0.287497,0.137112
19,T,-0.06321,-0.0263631
20,T,0.269526,0.149641
21,T,0.567154,0.457409
22,T,0.471641,0.414471
23,T,0.753725,0.566294
24,T,0.631922,0.316256
25,P,0.442576,0.216
26,P,0.294764,0.099511
27,P,0.286599,0.115437
28,P,0.623046,0.25199
29,P,0.321501,0.139339
30,T,0.251734,0.0980008
31,T,0.312691,0.17854
32,T,0.254924,0.144301
33,T,0.267538,0.146915
34,T,0.563545,0.327681
35,T,0.526784,0.31339
36,P,0.195363,0.0787365
37,P,0.135692,0.0700213
38,P,0.448997,0.147384
39,T,0.341673,0.32311
40,R,0.450816,0.273545
41,T,0.306558,0.22151
42,R,0.357694,0.15259
43,P,0.377875,0.18864
44,P,0.306616,0.104054
45,H,0.737899,0.216047
46,H,0.294399,0.219173
47,P,0.456632,0.159066
48,P,0.515076,0.291535
49,H,0.634209,0.389058
50,H,0.777815,0.394577
51,H,0.62355,0.299406
52,P,0.440321,0.239173
53,P,0.473161,0.2797
54,P,0.499362,0.351162
55,H,0.666249,0.278998
56,H,0.621176,0.15241
57,P,0.294793,0.198585
58,P,-0.126867,-0.0913907
59,P,0.039565,0.0279096
60,P,0.179859,0.113847
61,P,0.312486,0.211668
62,P,0.155147,0.0699131
63,T,0.103661,0.0582019
64,T,0.262883,0.12731
65,T,0.655884,0.451308
66,T,0.728989,0.49811
67,T,0.433723,0.298654
68,T,0.465132,0.185685
69,H,0.505075,0.262106
70,H,0.60431,0.275493
71,T,0.266412,0.107647
72,T,0.622731,0.377317
73,T,0.367073,0.193581
74,T,0.606304,0.443337
75,R,0.843287,0.562158
76,R,0.19687,0.0666245
77,R,0.624356,0.244074
78,P,0.392377,0.330248
79,P,0.496438,0.25825
80,P,0.213624,0.0881947
81,R,0.496461,0.369971
82,H,0.788407,0.293845
83,T,0.866432,0.725218
84,P,0.380018,0.14073
85,P,0.558368,0.383566
86,H,0.791966,0.328505
87,T,0.373126,0.329129
88,P,0.0444724,0.0252865
89,P,0.278952,0.20293
90,P,0.579208,0.373574
91,T,0.11722,0.0489745
92,T,0.152512,0.0601216
93,T,0.477661,0.210808
94,T,0.126934,0.0538779
95,T,0.68196,0.610698
96,T,0.524188,0.392098
97,P,-0.0696005,-0.139467
98,P,0.164959,0.0754266
99,P,0.171172,0.146504
100,T,0.510037,0.343846
101,T,0.568321,0.280043
102,T,0.32741,0.177715
103,T,0.512493,0.395768
104,T,0.459728,0.377513
105,T,0.55187,0.314906
106,T,0.269323,0.198975
107,P,0.404261,0.228993
108,P,0.242376,0.140537
109,P,0.525768,0.192541
110,P,0.183551,0.0708045
111,P,0.143576,0.0818449
112,T,0.426064,0.371149
113,R,0.43142,0.300933
114,T,0.624592,0.463596
115,R,0.311869,0.0700488
116,H,0.38377,0.0732247
117,R,0.622481,0.389288
118,T,0.399221,0.212318
119,T,0.69417,0.622261
120,T,0.641746,0.424911
121,T,0.880429,0.658553
122,R,0.391121,0.192259
123,R,0.664489,0.365071
124,H,0.175868,0.0952553
125,R,0.645253,0.365694
126,R,0.0210024,0.00875241
127,R,0.646263,0.409305
128,H,0.695919,0.170623
129,H,0.285539,0.107362
130,P,0.603938,0.279308
131,P,0.485599,0.233648
132,R,0.451574,0.281247
133,R,-0.308778,-0.259828
134,H,0.411992,0.131018
135,H,0.388309,0.166395
136,P,0.277678,0.0957508
137,P,0.300706,0.0751288
138,P,-0.011506,-0.00435698
139,T,0.603418,0.403753
140,R,0.671515,0.359313
141,T,0.529017,0.391375
142,T,0.555383,0.348733
143,T,0.39236,0.267317
144,T,0.711481,0.532203
145,T,0.131315,0.0791096
