element_idx,element_type,jens,jeans
0,T,0.711118,0.53845
1,R,0.792313,0.514745
2,H,0.993212,0.820186
3,R,0.788459,0.523115
4,R,0.811638,0.534691
5,H,0.994222,0.89284
6,H,0.99086,0.80966
7,H,0.996452,0.834463
8,R,0.792313,0.514745
9,R,0.802166,0.503991
10,H,0.99053,0.842857
11,H,0.996078,0.827351
12,H,0.994381,0.917221
13,H,0.996745,0.827529
14,R,0.763314,0.395292
15,R,0.717532,0.379794
16,P,0.398337,0.255904
17,P,0.435182,0.27135
18,P,0.465561,0.293395
19,P,0.297732,0.194701
20,P,0.282304,0.184211
21,R,0.564332,0.213586
22,R,0.529832,0.217823
23,T,0.634679,0.368829
24,T,0.68506,0.394899
25,T,0.670505,0.443587
26,T,0.677284,0.601655
27,R,0.836206,0.595291
28,R,0.865947,0.663018
29,R,0.788459,0.520105
30,H,0.993588,0.824167
31,H,0.996755,0.875534
32,R,0.788375,0.489762
33,H,0.994291,0.807436
34,P,0.39149,0.248685
35,P,0.399967,0.269421
36,P,0.497019,0.31781
37,R,0.732323,0.371666
38,R,0.711943,0.387405
39,H,0.997185,0.804478
40,R,0.806042,0.534691
41,H,0.993196,0.843864
42,P,0.453765,0.296619
43,P,0.447645,0.301248
44,P,0.428602,0.259345
45,H,0.997317,0.83718
46,R,0.806042,0.534766
47,H,0.991422,0.917209
48,R,0.714892,0.391538
49,R,0.694217,0.387499
50,H,0.995438,0.842929
51,P,0.333898,0.2006
52,P,0.315942,0.206647
53,R,0.552042,0.216179
54,R,0.828363,0.584107
55,T,0.64825,0.352289
56,T,0.701932,0.447755
57,T,0.702659,0.38998
58,T,0.691736,0.553897
59,R,0.555905,0.221966
60,R,0.831211,0.573523
61,T,0.78125,0.673362
62,P,0.291557,0.196341
63,P,0.316656,0.203276
64,T,0.598966,0.36142
65,T,0.619117,0.333055
66,T,0.644291,0.351286
67,T,0.648769,0.547908
68,R,0.843932,0.604126
69,R,0.566017,0.222654
70,R,0.533832,0.209396
71,R,0.848239,0.615567
72,R,0.802166,0.503991
73,R,0.809629,0.517519
74,H,0.9988,0.887741
75,H,0.992411,0.838641
76,H,0.995194,0.867772
77,H,0.995012,0.837088
78,P,0.433898,0.283677
79,P,0.445885,0.296663
80,P,0.437578,0.271336
81,R,0.683122,0.349942
82,R,0.711695,0.380219
83,R,0.809629,0.517519
84,T,0.710092,0.533355
85,R,0.792658,0.495108
86,H,0.996595,0.811511
87,H,0.996947,0.876553
88,R,0.793507,0.516018
89,H,0.994452,0.850526
90,H,0.991765,0.871469
91,H,0.997046,0.896444
92,R,0.792658,0.495108
93,R,0.814309,0.522656
94,H,0.995604,0.865943
95,P,0.430616,0.266769
96,P,0.419547,0.242049
97,P,0.433408,0.271053
98,H,0.993739,0.889879
99,H,0.996306,0.851088
100,R,0.709384,0.385166
101,R,0.720667,0.392118
102,R,0.582908,0.232672
103,P,0.30738,0.202563
104,P,0.300696,0.200762
105,R,0.568517,0.232221
106,R,0.82191,0.585114
107,T,0.673947,0.376555
108,T,0.648174,0.348774
109,T,0.666966,0.432964
110,T,0.667695,0.573845
111,R,0.869058,0.657483
112,R,0.548856,0.222289
