element_idx,element_type,jens,jeans
0,T,0.610973,0.430835
1,R,0.584947,0.39298
2,T,0.434546,0.289162
3,T,0.811363,0.6422
4,T,0.620035,0.601684
5,T,0.389549,0.195411
6,T,0.434002,0.41335
7,T,0.560582,0.386434
8,T,0.698228,0.514339
9,T,0.441365,0.326395
10,T,0.352026,0.226056
11,R,0.258591,0.124731
12,H,0.476516,0.164336
13,P,0.338934,0.14753
14,P,0.398689,0.294111
15,R,0.510293,0.274046
16,T,0.509542,0.411054
17,T,0.596557,0.528751
18,T,0.629768,0.550279
19,T,0.589256,0.363251
20,T,0.459319,0.301585
21,T,0.390552,0.259392
22,T,0.603455,0.561408
23,T,0.680217,0.581049
24,R,0.836114,0.559983
25,R,0.735849,0.354336
26,R,0.816409,0.599343
27,R,0.813495,0.547068
28,R,0.457513,0.174916
29,R,0.674103,0.274738
30,R,0.45092,0.257144
31,R,0.482926,0.244856
32,P,0.245207,0.0957918
33,P,0.227471,0.102577
34,P,0.637181,0.370116
35,T,0.365025,0.163907
36,T,0.41653,0.197134
37,T,0.17052,0.0655721
38,T,0.208184,0.0896753
39,T,0.359096,0.24068
40,T,0.563628,0.328503
41,R,0.353052,0.161614
42,R,0.423672,0.235778
43,H,0.554101,0.168968
44,P,0.185476,0.166795
45,P,0.520781,0.359801
46,P,0.35475,0.211003
47,H,0.43564,0.302139
48,H,0.406608,0.246944
49,H,-0.00472525,-0.00339727
50,H,0.45023,0.218488
51,T,0.632844,0.561949
52,P,0.459798,0.22309
53,P,0.282718,0.0888165
54,R,0.420571,0.0452826
55,R,0.422113,0.0521926
56,T,0.724608,0.434782
57,T,0.530475,0.29946
58,T,0.746789,0.417174
59,T,0.750699,0.513422
60,T,0.309495,0.176625
61,T,0.704962,0.68821
62,T,0.353761,0.304159
63,T,0.756724,0.703035
64,P,0.613673,0.367577
65,P,0.251081,0.0736797
66,P,0.206533,0.0744261
67,H,0.448816,0.115241
68,P,0.527982,0.306078
69,P,-0.445137,-0.0530856
70,P,-0.0456445,-0.00673172
71,P,0.230537,0.101126
72,P,0.341362,0.204246
73,H,0.467071,0.16975
74,H,0.251911,0.13879
75,H,0.797727,0.298255
76,H,0.831689,0.290445
77,H,0.849769,0.37395
78,H,0.583732,0.197621
79,H,0.822439,0.305933
80,H,0.449508,0.210143
81,H,0.721086,0.278752
82,H,0.139001,0.0879241
83,H,-0.0459285,-0.0215919
84,H,0.871217,0.358274
85,H,0.576929,0.14665
86,H,0.523326,0.186884
87,P,0.488773,0.33257
88,P,0.273133,0.173441
89,T,0.683553,0.584503
90,P,0.348748,0.170473
91,P,0.403611,0.203276
92,T,0.271972,0.176027
93,T,0.249224,0.157371
94,P,0.470458,0.228947
95,P,0.35402,0.214753
96,T,0.669352,0.545819
97,T,0.575999,0.437743
98,T,0.557993,0.362587
99,T,0.431562,0.273915
100,T,0.432275,0.22817
101,T,0.631311,0.562678
102,T,0.80444,0.759738
103,P,0.15459,0.10167
104,P,0.212234,0.122478
105,P,0.319304,0.101752
106,P,0.285318,0.172635
107,P,0.576011,0.200372
108,P,0.347751,0.121489
109,P,0.417039,0.164142
110,P,0.23844,0.100799
111,P,0.19969,0.0627069
112,P,0.378433,0.138863
113,H,0.342752,0.089505
114,P,0.231194,0.107961
115,P,0.675263,0.471557
116,P,0.373477,0.15296
117,T,-0.284155,-0.173728
118,T,0.108439,0.0480321
119,T,0.517667,0.304481
120,T,0.579016,0.286443
121,T,0.490162,0.329359
122,T,0.68726,0.440329
123,P,0.106558,0.0606695
124,P,0.258457,0.116211
125,T,0.330273,0.197813
126,P,0.27877,0.134732
127,P,0.0326668,0.024021
128,P,0.1761,0.10423
129,P,0.486494,0.0720354
130,P,0.503659,0.178324
131,P,0.341953,0.0842398
132,T,0.342088,0.121246
133,T,0.152199,0.0792174
134,T,0.343047,0.135541
135,T,0.270388,0.125488
136,T,0.503249,0.329703
137,T,0.440717,0.18058
138,P,0.404078,0.198806
139,P,0.57137,0.300988
140,P,0.26747,0.0795979
141,P,0.323482,0.103131
142,P,0.104449,0.0426415
143,H,0.0153741,0.00586247
144,H,0.0305592,0.00600977
145,P,0.340941,0.146362
146,P,-0.20931,-0.0567428
147,P,0.145691,0.065163
148,T,0.720709,0.532653
149,T,0.709303,0.515671
150,P,0.337856,0.199644
151,P,0.60022,0.434388
152,P,0.4266,0.207739
153,P,0.279746,0.13738
154,T,0.76955,0.54768
155,P,0.517103,0.248583
156,P,0.526854,0.234321
157,P,0.23243,0.0842617
158,P,0.557007,0.258883
159,P,0.146633,0.0679293
160,T,0.343744,0.188792
161,T,0.25426,0.182514
162,T,0.576792,0.461124
163,T,0.846238,0.768278
164,R,0.827238,0.342478
165,H,0.454045,0.306237
166,H,-0.157626,-0.0433268
167,R,0.431886,0.144878
168,R,0.267025,0.092092
169,T,0.55637,0.382642
170,R,0.551437,0.368474
171,T,0.582085,0.451809
172,T,0.623734,0.459281
173,R,0.778594,0.266142
174,P,0.336283,0.112687
175,P,0.452472,0.119512
176,P,0.169444,0.0551113
177,T,0.220271,0.0878076
178,T,0.273661,0.14369
179,T,0.186833,0.0970041
180,T,0.59558,0.412972
181,T,0.515453,0.279656
182,T,0.465625,0.265091
