element_idx,element_type,jens,jeans
0,T,0.730397,0.60801
1,R,0.689469,0.414672
2,H,0.941004,0.652644
3,R,0.750272,0.519017
4,R,0.689553,0.516193
5,H,0.812869,0.486123
6,H,0.84717,0.449339
7,H,0.847452,0.616445
8,R,0.689469,0.414672
9,R,0.754493,0.521029
10,H,0.917532,0.536314
11,H,0.955901,0.708446
12,H,0.899274,0.473584
13,H,0.823508,0.501792
14,R,0.630139,0.338739
15,R,0.64458,0.348258
16,P,0.328529,0.201181
17,P,0.348901,0.214576
18,P,0.48212,0.260692
19,P,0.315406,0.154121
20,P,0.32689,0.180539
21,R,0.482745,0.18877
22,R,0.419259,0.165749
23,T,0.606571,0.299509
24,T,0.668384,0.34869
25,T,0.585811,0.406207
26,T,0.646778,0.522549
27,R,0.673623,0.414708
28,R,0.937859,0.715697
29,R,0.672632,0.408976
30,H,0.920812,0.52704
31,H,0.897567,0.572569
32,R,0.672632,0.408976
33,H,0.940718,0.411248
34,P,0.340655,0.19197
35,P,0.425655,0.222821
36,P,0.407837,0.281335
37,R,0.731775,0.378838
38,R,0.783332,0.387468
39,H,0.952948,0.653344
40,R,0.575169,0.370543
41,H,0.769763,0.486258
42,P,0.355606,0.177701
43,P,0.337817,0.245216
44,P,0.459967,0.235256
45,H,0.912519,0.451362
46,R,0.575169,0.370543
47,H,0.903723,0.565297
48,R,0.503011,0.19455
49,R,0.693408,0.371359
50,H,0.907829,0.388187
51,P,0.346272,0.20683
52,P,0.245647,0.179169
53,R,0.582459,0.22795
54,R,0.776918,0.493603
55,T,0.578126,0.332221
56,T,0.636116,0.40167
57,T,0.531863,0.369699
58,T,0.575096,0.466581
59,R,0.56098,0.238724
60,R,0.844261,0.509362
61,T,0.785752,0.719532
62,P,0.259726,0.143299
63,P,0.275503,0.122932
64,T,0.585591,0.371008
65,T,0.574451,0.361176
66,T,0.666322,0.381066
67,T,0.721397,0.683202
68,R,0.810084,0.548005
69,R,0.385844,0.156484
70,R,0.501965,0.175631
71,R,0.904444,0.577395
72,R,0.754493,0.521029
73,R,0.772326,0.52145
74,H,0.923715,0.624795
75,H,0.879659,0.49986
76,H,0.888377,0.366853
77,H,0.887468,0.601634
78,P,0.583009,0.404544
79,P,0.57677,0.224093
80,P,0.62792,0.303962
81,R,0.629915,0.24595
