element_idx,element_type,jens,jeans
224,P,0.453905,0.283708
225,P,0.0736473,0.06119
226,H,0.707586,0.492082
227,R,0.471402,0.257463
228,R,0.395964,0.157609
229,P,0.0245304,0.0091228
230,P,0.0853896,0.0607106
231,R,0.726142,0.451822
232,R,0.672253,0.266938
233,T,0.662026,0.418893
234,T,0.0761082,0.0354704
235,T,0.317643,0.187892
236,T,0.541088,0.412711
237,H,-0.0584383,-0.041424
238,H,0.389928,0.221573
239,R,0.558773,0.416036
240,R,0.423913,0.173182
241,P,0.0413678,0.0113132
242,P,0.342787,0.177593
243,P,0.109654,0.0580539
244,R,0.648101,0.323844
245,R,0.448487,0.182545
246,H,0.775469,0.329481
247,H,0.802406,0.432296
248,R,0.517395,0.326272
249,H,0.697197,0.340523
250,R,0.423913,0.148486
251,T,0.488793,0.414098
252,H,0.428912,0.194452
253,H,0.18469,0.108521
254,H,0.765354,0.345859
255,R,0.5631,0.430174
256,R,0.599361,0.312208
257,R,0.769412,0.464265
258,T,0.503616,0.316615
259,T,0.380981,0.218341
260,T,0.582526,0.471772
261,T,0.576027,0.539842
262,P,0.261531,0.175226
263,P,0.187118,0.130979
264,R,0.519586,0.327578
265,R,0.635162,0.274072
266,T,0.682083,0.657665
267,T,0.816996,0.536263
268,T,0.400797,0.196301
269,T,0.32841,0.150203
270,T,0.579241,0.394777
271,R,0.829918,0.298558
272,R,0.445647,0.14928
273,P,0.234231,0.155448
274,P,0.275981,0.143977
275,R,0.779236,0.396263
276,R,0.372881,0.123046
277,H,0.852675,0.209495
278,P,0.20222,0.158333
279,P,0.424937,0.324668
280,P,0.344032,0.210026
281,H,0.758245,0.290616
282,R,0.820271,0.49926
283,H,0.451388,0.227205
284,R,0.36742,0.207786
285,R,0.471535,0.281892
286,H,0.508751,0.243299
287,R,0.431685,0.235449
288,R,0.507677,0.346119
289,H,0.771305,0.342371
290,R,0.621009,0.437135
291,R,0.283949,0.188371
292,H,0.686477,0.226487
293,R,0.712487,0.298697
294,H,0.377921,0.0826363
295,P,0.325665,0.110382
296,P,-0.0988364,-0.0425865
297,P,0.162642,0.102208
298,H,0.757945,0.129274
299,R,0.458279,0.148264
300,R,0.875949,0.612038
301,P,0.350799,0.143173
302,P,0.402564,0.256976
303,R,0.547796,0.23384
304,R,0.753639,0.46207
305,T,0.675832,0.330264
306,T,0.345249,0.190418
307,T,0.443022,0.268497
308,T,0.517432,0.339435
309,T,0.771657,0.725839
310,R,0.720607,0.299347
311,R,0.744824,0.474937
312,P,0.289351,0.188649
313,P,0.484554,0.280655
314,T,0.598216,0.388302
315,T,0.635551,0.343846
316,T,0.775301,0.525377
317,T,0.61388,0.388276
318,R,0.689723,0.419938
319,R,0.387311,0.205541
320,R,0.586481,0.30206
321,H,0.265988,0.166366
322,H,0.377641,0.149808
323,H,-0.146193,-0.10829
324,T,0.787227,0.76005
325,R,0.551141,0.253166
326,H,0.600527,0.175895
327,R,0.559461,0.30444
328,H,0.844588,0.295429
329,H,0.660959,0.298948
330,R,0.296434,0.15337
331,R,0.40231,0.177234
332,P,0.25462,0.0698163
333,P,0.305232,0.163879
334,P,0.242647,0.120064
335,R,0.472074,0.251599
336,R,0.472074,0.292133
337,H,0.56156,0.308419
338,H,0.75763,0.446145
