element_idx,element_type,jens,jeans
0,R,0.6803,0.411499
1,R,0.6803,0.411499
2,R,0.767602,0.488628
3,T,0.529904,0.363912
4,R,0.69897,0.386041
5,T,0.541642,0.328454
6,R,0.799922,0.552893
7,R,0.799922,0.569327
8,R,0.82213,0.57202
9,R,0.845168,0.587974
10,R,0.678245,0.204164
11,R,0.534341,0.16259
12,R,0.678245,0.361211
13,R,0.573852,0.323405
14,R,0.715132,0.468081
15,R,0.670066,0.48929
16,R,0.572726,0.333065
17,R,0.65787,0.423095
18,H,0.821365,0.2955
19,H,0.810509,0.367658
20,T,0.474684,0.323288
21,R,0.680336,0.396427
22,R,0.658678,0.401993
23,R,0.573852,0.292599
24,P,0.369957,0.237401
25,P,0.379892,0.276501
26,P,0.466893,0.236845
27,P,0.415782,0.265975
28,R,0.587595,0.300355
29,R,0.553526,0.269944
30,H,0.775111,0.518043
31,H,0.829427,0.302813
32,R,0.56244,0.379169
33,R,0.56244,0.435358
34,R,0.686442,0.490012
35,R,0.686442,0.490012
36,R,0.820121,0.573796
37,R,0.816341,0.552893
38,R,0.621174,0.439422
39,R,0.621174,0.439422
40,R,0.76813,0.524714
41,R,0.787738,0.524714
42,R,0.837117,0.533742
43,R,0.748752,0.428685
44,R,0.824103,0.467842
45,R,0.745402,0.474918
46,R,0.653605,0.226834
47,R,0.536536,0.174795
48,R,0.473881,0.271932
49,R,0.640898,0.309562
50,H,0.70982,0.266178
51,H,0.691531,0.313473
52,R,0.830339,0.554355
53,R,0.76813,0.5338
54,R,0.77256,0.424133
55,R,0.723105,0.436645
56,R,0.778784,0.442456
57,R,0.534341,0.299545
58,R,0.572726,0.298506
59,R,0.65787,0.357895
60,R,0.641878,0.25514
61,R,0.506977,0.186954
62,H,0.861026,0.411435
63,H,0.634688,0.412211
64,R,0.573979,0.415359
65,R,0.588299,0.540466
66,H,0.857118,0.523482
67,H,0.834016,0.525841
68,R,0.672256,0.340044
69,R,0.65213,0.307999
70,R,0.691116,0.281454
71,R,0.571375,0.256031
72,R,0.502658,0.451525
73,R,0.502658,0.458988
74,H,0.812148,0.282492
75,H,0.718708,0.302622
76,R,0.469738,0.24496
77,R,0.590457,0.260967
78,R,0.695459,0.249918
79,R,0.707982,0.313823
80,H,0.845959,0.511306
81,H,0.841254,0.508796
82,H,0.87284,0.461753
83,H,0.910616,0.629973
84,H,0.780244,0.4183
85,H,0.781713,0.467808
86,H,0.599455,0.22003
87,H,0.525415,0.35147
88,H,0.917004,0.439804
89,H,0.883744,0.395898
90,H,0.896357,0.577443
91,H,0.866674,0.486829
92,H,0.915355,0.49445
93,H,0.834833,0.444505
94,H,0.825274,0.484132
95,H,0.819048,0.355281
96,R,0.503565,0.422657
97,T,0.444676,0.349422
98,R,0.570988,0.348895
99,H,0.791936,0.488345
100,R,0.620744,0.247123
101,R,0.585927,0.248252
102,P,0.468407,0.322948
103,P,0.464191,0.286178
104,R,0.626266,0.438299
105,R,0.739234,0.508968
106,H,0.768738,0.408464
107,H,0.768738,0.435684
108,R,0.691116,0.281454
109,R,0.528134,0.256031
110,R,0.620744,0.326798
111,R,0.528134,0.220522
112,H,0.833145,0.576349
113,H,0.917004,0.53836
114,H,0.856491,0.487146
115,H,0.844686,0.570762
116,H,0.904004,0.544598
117,H,0.874598,0.57032
118,H,0.682262,0.370201
119,H,0.88283,0.443976
120,R,0.626201,0.442975
121,H,0.708594,0.407442
122,H,0.934928,0.625911
123,R,0.660452,0.414801
124,H,0.925473,0.467049
125,H,0.797946,0.435989
126,H,0.948902,0.464584
127,H,0.869621,0.413681
128,H,0.902039,0.419619
129,H,0.845657,0.413544
130,H,0.839329,0.427322
131,H,0.822068,0.33145
132,H,0.869956,0.48961
133,H,0.800801,0.457334
134,H,0.818304,0.515232
135,H,0.898655,0.484608
136,H,0.852425,0.526982
137,H,0.71346,0.417565
138,H,0.851798,0.345222
139,H,0.956739,0.482797
140,H,0.953179,0.532904
141,H,0.84728,0.384168
142,H,0.698525,0.427628
143,H,0.949167,0.574746
144,H,0.721596,0.466296
145,R,0.502485,0.314118
146,T,0.415814,0.310823
147,R,0.690988,0.442497
148,R,0.420423,0.176996
149,R,0.562265,0.318274
150,P,0.319209,0.201008
151,P,0.244414,0.164493
152,H,0.834462,0.368044
153,H,0.833172,0.499407
154,R,0.712772,0.598013
155,R,0.580989,0.468813
156,R,0.551332,0.18454
157,R,0.59311,0.205832
158,R,0.420423,0.189579
159,R,0.59311,0.242415
160,H,0.88713,0.394006
161,H,0.850899,0.519601
162,H,0.85941,0.570775
163,H,0.894194,0.582752
164,H,0.760117,0.344923
165,H,0.754335,0.322128
166,H,0.743491,0.546013
167,H,0.954157,0.559326
168,R,0.657572,0.375745
169,H,0.920326,0.523384
170,H,0.773796,0.396339
171,H,0.889297,0.556438
