element_idx,element_type,jens,jeans
2636,R,0.64558,0.33677
2637,R,0.638117,0.308603
2638,R,0.659349,0.359248
2639,R,0.630072,0.308185
2640,H,0.950057,0.642951
2641,H,0.948973,0.605801
2642,H,0.996204,0.775587
2643,H,0.997227,0.812919
2644,H,0.9867,0.758062
2645,H,0.991219,0.865873
2646,H,0.986058,0.860345
2647,H,0.994222,0.926953
2648,H,0.947938,0.625146
2649,H,0.947938,0.625146
2650,H,0.992061,0.849097
2651,H,0.992595,0.806408
2652,H,0.990946,0.867733
2653,H,0.991407,0.846846
2654,H,0.991411,0.867398
2655,H,0.987714,0.887097
2656,R,0.599573,0.529605
2657,R,0.599573,0.529605
2658,H,0.839587,0.492442
2659,H,0.839587,0.468298
2660,R,0.69332,0.395309
2661,R,0.622097,0.306913
2662,R,0.693037,0.349345
2663,R,0.660323,0.31195
2664,R,0.610325,0.553867
2665,R,0.610325,0.553867
2666,H,0.852996,0.468298
2667,H,0.861532,0.519464
2668,R,0.660754,0.335381
2669,R,0.641014,0.289379
2670,R,0.679071,0.391125
2671,R,0.622097,0.303871
2672,H,0.962164,0.620316
2673,H,0.948111,0.620316
2674,H,0.995258,0.828121
2675,H,0.995743,0.83597
2676,H,0.993818,0.882222
2677,H,0.978193,0.842511
2678,H,0.976206,0.875635
2679,H,0.990555,0.881611
2680,H,0.953616,0.597266
2681,H,0.953616,0.597266
2682,H,0.992316,0.797534
2683,H,0.992316,0.773809
2684,H,0.989199,0.793963
2685,H,0.988819,0.839658
2686,H,0.976979,0.878188
2687,H,0.983458,0.801654
2688,H,0.839804,0.48304
2689,H,0.854101,0.48304
2690,R,0.609182,0.558338
2691,R,0.6156,0.548413
2692,R,0.643716,0.298579
2693,R,0.684288,0.344999
2694,R,0.643716,0.323267
2695,R,0.669775,0.385138
2696,H,0.854356,0.481609
2697,H,0.839804,0.489335
2698,R,0.595319,0.534932
2699,R,0.595319,0.534932
2700,R,0.684245,0.315743
2701,R,0.671319,0.356996
2702,R,0.668434,0.312328
2703,R,0.684288,0.356996
2704,H,0.971738,0.634603
2705,H,0.957785,0.629098
2706,H,0.992443,0.8308
2707,H,0.993495,0.751737
2708,H,0.994886,0.816164
2709,H,0.993657,0.801484
2710,H,0.994585,0.879388
2711,H,0.990408,0.783149
2712,H,0.957785,0.611022
2713,H,0.964728,0.611022
2714,H,0.989533,0.708873
2715,H,0.987373,0.819077
2716,H,0.993657,0.76185
2717,H,0.997571,0.798425
2718,H,0.989483,0.748635
2719,H,0.989498,0.813381
2720,H,0.868979,0.469848
2721,H,0.871785,0.469848
2722,R,0.596911,0.539312
2723,R,0.61426,0.572858
2724,R,0.643183,0.293642
2725,R,0.660591,0.320707
2726,R,0.649334,0.337706
2727,R,0.671319,0.368872
2728,H,0.869507,0.503942
2729,H,0.868979,0.503942
2730,R,0.638141,0.58119
2731,R,0.636416,0.55395
2732,R,0.632927,0.323849
2733,R,0.663484,0.377354
2734,R,0.632927,0.311133
2735,R,0.660591,0.34192
2736,H,0.966951,0.615099
2737,H,0.966366,0.630729
2738,H,0.993264,0.870009
2739,H,0.997393,0.912549
2740,H,0.997735,0.854286
2741,H,0.994584,0.815445
2742,H,0.992628,0.828069
2743,H,0.994177,0.847036
2744,H,0.95994,0.632999
2745,H,0.95994,0.582493
2746,H,0.989147,0.793708
2747,H,0.991435,0.833388
2748,H,0.993457,0.839241
2749,H,0.992814,0.849092
2750,H,0.995931,0.871623
2751,H,0.991509,0.859941
2752,R,0.741454,0.494314
2753,R,0.743424,0.505401
2754,R,0.725119,0.505879
2755,R,0.69722,0.474209
2756,R,0.73346,0.482719
2757,R,0.737604,0.482719
2758,R,0.718152,0.501144
2759,R,0.718152,0.485248
2760,R,0.859525,0.55517
2761,R,0.852348,0.543471
2762,R,0.757536,0.413914
2763,R,0.698588,0.386564
2764,R,0.751704,0.444752
2765,R,0.698588,0.402036
2766,R,0.76773,0.400432
2767,R,0.744326,0.37798
2768,R,0.765283,0.444819
2769,R,0.744326,0.418504
2770,H,0.99216,0.780496
2771,H,0.983201,0.78443
2772,R,0.855092,0.546663
2773,R,0.855804,0.55517
2774,R,0.741865,0.411077
2775,R,0.723284,0.421932
2776,R,0.741865,0.411501
2777,R,0.754266,0.417282
2778,R,0.743595,0.402959
2779,R,0.709785,0.381944
2780,R,0.763495,0.402959
2781,R,0.709785,0.381944
2782,H,0.982438,0.835151
2783,H,0.989342,0.664157
2784,R,0.744295,0.497103
2785,R,0.708714,0.497103
2786,R,0.708714,0.498033
2787,R,0.740432,0.494314
2788,R,0.734713,0.483952
2789,R,0.727819,0.49409
2790,R,0.732585,0.499306
2791,R,0.738784,0.483952
2792,R,0.85459,0.574356
2793,R,0.860768,0.574356
2794,R,0.708746,0.394438
2795,R,0.715993,0.39891
2796,R,0.708746,0.405163
2797,R,0.748389,0.42134
2798,R,0.704424,0.402637
2799,R,0.748473,0.428533
2800,R,0.704424,0.379839
2801,R,0.730012,0.432464
