element_idx,element_type,jens,jeans
0,R,0.67805,0.466296
1,T,0.608771,0.415433
2,H,0.985825,0.699536
3,R,0.67443,0.442745
4,R,0.707483,0.445518
5,T,0.486983,0.309391
6,T,0.608453,0.434997
7,R,0.716361,0.486643
8,T,0.520889,0.414948
9,P,0.333364,0.260989
10,P,0.368442,0.230796
11,T,0.743463,0.59655
12,T,0.472388,0.334233
13,T,0.724455,0.533785
14,P,0.608852,0.403473
15,P,0.48916,0.217762
16,P,0.718838,0.46691
17,P,0.586364,0.269899
18,P,0.555027,0.366654
19,T,0.451747,0.207804
20,T,0.418064,0.179817
21,T,0.323808,0.127658
22,T,0.352091,0.162922
23,T,0.61256,0.311779
24,T,0.552289,0.237439
25,P,0.552752,0.222077
26,P,0.566004,0.264444
27,P,0.75424,0.569202
28,P,0.594651,0.340262
29,P,0.499195,0.227147
30,T,0.329045,0.133964
31,T,0.346563,0.156151
32,T,0.447147,0.190897
33,T,0.44782,0.182241
34,T,0.590812,0.334184
35,T,0.501782,0.222377
36,P,0.337209,0.227134
37,P,0.343378,0.208477
38,P,0.412062,0.276991
39,T,0.511692,0.367204
40,R,0.559861,0.340843
41,T,0.568999,0.430139
42,R,0.680621,0.376221
43,P,0.599822,0.269396
44,P,0.533355,0.221483
45,H,0.808103,0.381981
46,H,0.919115,0.466762
47,P,0.493491,0.210355
48,P,0.587773,0.337162
49,H,0.856399,0.563332
50,H,0.968069,0.461384
51,H,0.992945,0.860953
52,P,0.38856,0.268031
53,P,0.427219,0.303975
54,P,0.478089,0.30232
55,H,0.993266,0.86841
56,H,0.991231,0.84132
57,P,0.371478,0.237211
58,P,0.270395,0.177519
59,P,0.309579,0.19844
60,P,0.676264,0.440285
61,P,0.594415,0.389341
62,P,0.37527,0.219415
63,T,0.279568,0.137309
64,T,0.28883,0.118973
65,T,0.569669,0.282179
66,T,0.582713,0.267607
67,T,0.434533,0.251106
68,T,0.363285,0.135727
69,H,0.993569,0.843702
70,H,0.983925,0.825814
71,T,0.60375,0.334346
72,T,0.629163,0.340439
73,T,0.664382,0.417446
74,T,0.722461,0.579189
75,R,0.799524,0.477125
76,R,0.696934,0.394903
77,R,0.764302,0.418369
78,P,0.405378,0.287643
79,P,0.459271,0.30462
80,P,0.493057,0.30948
81,R,0.612636,0.38835
82,H,0.811237,0.566081
83,T,0.659495,0.492656
84,P,0.46349,0.301376
85,P,0.54581,0.293213
86,H,0.918092,0.447906
87,T,0.53846,0.432765
88,P,0.754478,0.611108
89,P,0.568053,0.225449
90,P,0.506523,0.218842
91,T,0.338384,0.133046
92,T,0.354495,0.155039
93,T,0.381982,0.142251
94,T,0.390425,0.172609
95,T,0.601316,0.359434
96,T,0.545777,0.250205
97,P,0.724684,0.521803
98,P,0.637803,0.373634
99,P,0.475752,0.218345
100,T,0.342142,0.136959
101,T,0.378204,0.170197
102,T,0.544111,0.239233
103,T,0.545879,0.246034
104,T,0.529017,0.30578
105,T,0.478556,0.221938
106,T,0.524308,0.335479
107,P,0.54744,0.296448
108,P,0.477294,0.244066
109,P,0.354621,0.222063
110,P,0.361336,0.266226
111,P,0.361795,0.228176
112,T,0.521576,0.372014
113,R,0.581612,0.355603
114,T,0.557617,0.368408
115,R,0.561333,0.389428
116,H,0.871502,0.57841
117,R,0.62101,0.496324
118,T,0.67854,0.479143
119,T,0.647528,0.450871
120,T,0.635418,0.444302
121,T,0.956241,0.90866
122,R,0.660047,0.330254
123,R,0.737549,0.394671
124,H,0.991609,0.841858
125,R,0.613861,0.361683
126,R,0.655754,0.316362
127,R,0.818847,0.568809
128,H,0.88624,0.462714
129,H,0.93256,0.490071
130,P,0.647048,0.415188
131,P,0.514934,0.273278
132,R,0.56882,0.252692
133,R,0.593375,0.233577
134,H,0.993368,0.840499
135,H,0.992683,0.797381
136,P,0.306215,0.217082
137,P,0.327825,0.191273
138,P,0.321118,0.231904
139,T,0.728387,0.554606
140,R,0.724264,0.423626
141,T,0.574429,0.447524
142,T,0.560852,0.339484
143,T,0.494382,0.26178
144,T,0.814223,0.597051
145,T,0.493778,0.294727
146,R,0.602727,0.39145
147,H,0.800458,0.582594
148,T,0.552628,0.402365
149,P,0.417748,0.179501
150,P,0.42439,0.220068
151,R,0.683133,0.373622
152,R,0.654325,0.338591
153,H,0.994066,0.827515
154,H,0.991484,0.87839
155,H,0.991382,0.862681
156,P,0.343204,0.250402
157,P,0.392353,0.188392
158,P,0.748061,0.486946
159,P,0.565756,0.268285
160,P,0.510992,0.322074
161,T,0.467769,0.210249
162,T,0.436286,0.202589
163,T,0.382538,0.150259
164,T,0.382769,0.160867
165,T,0.584816,0.283698
166,T,0.438796,0.194648
167,P,0.369262,0.238929
168,P,0.391132,0.258363
169,P,0.428075,0.276768
170,R,0.618044,0.22406
171,R,0.647032,0.244232
172,T,0.557848,0.354552
173,P,0.776798,0.532635
174,P,0.642737,0.316344
175,P,0.614822,0.297735
176,T,0.448293,0.168566
177,T,0.494768,0.222843
178,T,0.467184,0.182767
179,T,0.455944,0.204659
180,T,0.640532,0.332398
181,T,0.648681,0.31934
182,P,0.461046,0.307661
183,P,0.441344,0.267298
184,P,0.409601,0.268825
185,P,0.529957,0.243485
186,P,0.472845,0.234928
187,R,0.594879,0.439472
188,R,0.695524,0.324969
189,R,0.74585,0.428174
190,H,0.995993,0.878357
191,H,0.886857,0.49786
192,R,0.68811,0.465005
193,T,0.652084,0.503773
194,R,0.552133,0.413708
195,R,0.815493,0.51296
196,R,0.808546,0.49969
197,T,0.595374,0.313716
198,T,0.59932,0.292292
199,T,0.686397,0.484652
200,T,0.734964,0.606111
201,T,0.598004,0.424257
202,H,0.864151,0.522621
203,H,0.978839,0.48759
204,H,0.914807,0.531407
205,P,0.46852,0.189104
206,P,0.565038,0.318354
207,H,0.996864,0.880844
208,H,0.995332,0.879692
209,H,0.993211,0.870222
210,P,0.310874,0.193346
211,P,0.374283,0.225333
212,P,0.336291,0.223886
213,T,0.629778,0.442663
214,R,0.765497,0.561518
215,P,0.702278,0.515388
216,P,0.422556,0.239098
217,P,0.515046,0.294295
218,T,0.376807,0.178049
219,T,0.364985,0.172176
220,T,0.287475,0.130591
221,T,0.280791,0.12331
222,T,0.562607,0.297953
223,T,0.461215,0.184091
224,R,0.609549,0.279912
225,R,0.634146,0.300861
226,R,0.861472,0.596114
227,R,0.765838,0.478866
228,R,0.7234,0.47406
229,T,0.655097,0.490364
230,H,0.879204,0.520799
231,H,0.992809,0.853216
232,P,0.302294,0.184658
233,P,0.388861,0.283712
234,P,0.393653,0.246721
235,P,0.570138,0.444095
236,P,0.456209,0.2661
237,H,0.972913,0.718038
238,H,0.99682,0.901207
239,H,0.994591,0.888215
240,H,0.986331,0.766063
241,H,0.993385,0.883377
242,H,0.989546,0.810966
243,P,0.753927,0.565826
244,P,0.598022,0.244031
245,P,0.640056,0.346653
246,T,0.442576,0.17649
247,T,0.423294,0.173591
248,T,0.398957,0.141091
249,T,0.398485,0.199526
250,T,0.668437,0.37867
251,T,0.670695,0.357475
252,P,0.693937,0.530047
253,P,0.557286,0.310565
254,P,0.529522,0.272982
255,T,0.403,0.158891
256,T,0.404557,0.181957
257,T,0.46671,0.193755
258,T,0.447217,0.190932
259,T,0.656805,0.342868
260,T,0.562192,0.256934
261,H,0.990441,0.788127
262,H,0.993126,0.808795
263,P,0.30233,0.180992
264,P,0.48148,0.314231
265,P,0.38162,0.227179
266,R,0.605415,0.276999
267,R,0.638544,0.328531
268,T,0.698742,0.46481
269,P,0.766122,0.542067
270,P,0.581946,0.268523
271,P,0.435844,0.246683
272,T,0.315168,0.145911
273,T,0.34084,0.166202
274,T,0.379386,0.161232
275,T,0.36794,0.151649
276,T,0.518438,0.30713
277,T,0.376044,0.18903
278,R,0.756779,0.395145
279,R,0.683094,0.512054
280,R,0.62241,0.292533
281,R,0.611751,0.298129
282,R,0.872188,0.566606
283,H,0.960453,0.452575
284,H,0.816529,0.590393
285,P,0.595175,0.323509
286,P,0.461622,0.238582
287,H,0.875407,0.49148
288,H,0.995645,0.892347
289,H,0.996429,0.861214
290,P,0.370233,0.234645
291,P,0.34324,0.223195
292,P,0.388819,0.252099
293,H,0.996074,0.870948
294,R,0.679374,0.399492
295,T,0.53729,0.429189
296,H,0.76018,0.418883
297,P,0.399936,0.171892
298,P,0.69245,0.424876
299,T,0.828128,0.615297
300,R,0.724515,0.536773
301,T,0.692005,0.517138
302,R,0.609006,0.296981
303,R,0.614131,0.318527
304,T,0.595577,0.357622
305,T,0.59376,0.367495
306,T,0.58948,0.384194
307,T,0.789296,0.721138
308,T,0.785431,0.660222
309,R,0.839012,0.586345
310,R,0.563841,0.229329
311,R,0.618974,0.292722
312,R,0.56761,0.441736
313,T,0.502609,0.313034
314,P,0.799324,0.608291
315,P,0.555415,0.266899
316,P,0.604318,0.265695
317,T,0.314326,0.120455
318,T,0.362618,0.16854
319,T,0.321931,0.126956
320,T,0.352123,0.162274
321,T,0.592301,0.323232
322,T,0.635357,0.306686
323,H,0.992354,0.858137
324,H,0.896638,0.591808
325,R,0.586352,0.517864
326,R,0.561268,0.222765
327,R,0.61669,0.298658
328,P,0.609561,0.380762
329,P,0.513357,0.268448
330,T,0.651364,0.570706
331,H,0.89006,0.421494
332,R,0.82725,0.524942
333,H,0.992622,0.880812
334,P,0.336709,0.21516
335,P,0.276053,0.180806
336,P,0.327833,0.209482
337,T,0.482206,0.303187
338,T,0.563632,0.349644
339,T,0.64731,0.393582
340,T,0.838496,0.593508
341,P,0.737092,0.532677
342,P,0.627522,0.373082
343,P,0.571877,0.261655
344,T,0.331,0.130776
345,T,0.38862,0.188647
346,T,0.47697,0.197195
347,T,0.525837,0.236398
348,T,0.579078,0.310164
349,T,0.641284,0.303091
350,H,0.990372,0.831643
351,H,0.995976,0.840483
352,R,0.661599,0.330369
353,R,0.689474,0.347642
354,P,0.362117,0.260845
355,P,0.352278,0.197406
356,P,0.330792,0.218062
357,T,0.524941,0.299527
358,T,0.550113,0.372101
359,P,0.503535,0.28578
360,P,0.435495,0.311538
361,R,0.590196,0.45439
362,T,0.496031,0.326573
363,T,0.474104,0.367042
364,R,0.614058,0.527668
365,P,0.670975,0.50711
366,P,0.637149,0.332672
